model,test_accuracy,accuracy_ci_95_lower,accuracy_ci_95_upper,precision_macro,recall_macro,f1_macro,f1_weighted,worst_mild_shift_accuracy,calibration_ece_10_bins,gradcam_foreground_fraction,gradcam_pct_misleading,lime_foreground_fraction,lime_pct_misleading
cnn,0.9794893260778569,0.9736291335286731,0.9853495186270406,0.9708535875145906,0.9766404514414888,0.9729446873406623,0.979575384176065,0.8501465048137296,0.12236896877061276,0.44165794427196187,75.0,0.5349963642656803,50.0
vit,0.9907911259941398,0.9866052741732942,0.9945583926329008,0.9905965653658386,0.9885372286928957,0.9894730411246728,0.9907830411444296,0.9723733779824194,0.11287424605777943,0.7682290502513448,8.333333333333332,0.6431895742813746,29.166666666666668
